reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,0,0,0,3,0.3113020999880973,,0.057602399989264086,0.3113020999880973,1.0113825000007637,1.0113825000007637,1.3113069999963045,9.81529229998705,t,8.729564000008395,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
27,50,21,0,1,1,2,9.85864659998333,,9.844311399996514,9.85864659998333,10.843435499991756,10.843435499991756,10.860022899985779,15.914295700000366,l,5.068405199999688,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
67,75,119,0,2,2,5,15.941857099998742,,15.914733099984005,15.941857099998742,16.92609339999035,16.92609339999035,16.9433616999886,19.696123600006104,t,2.756676499993773,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
78,80,162,0,3,3,6,19.709914200007915,,19.696882199990796,19.709914200007915,20.709057400003076,20.709057400003076,20.709057400003076,24.278526999987662,l,3.5564712999912445,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
49,60,89,0,4,4,4,24.292463099991437,,24.279028299992206,24.292463099991437,25.291556299984222,25.291556299984222,25.291556299984222,27.761510099982843,t,2.453616500017233,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
11,30,7,0,5,5,0,27.77494229999138,,27.762165599997388,27.77494229999138,28.775337099999888,28.775337099999888,28.775337099999888,31.828311699995538,l,3.048324000003049,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
15,35,13,0,6,6,1,31.84081100000185,,31.828773999994155,31.84081100000185,32.84226020000642,32.84226020000642,32.84226020000642,35.344855400006054,l,2.4958989000006113,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
67,75,119,1,0,7,5,35.35686629998963,,35.34533399998327,35.35686629998963,36.357597199996235,36.357597199996235,36.357597199996235,38.510207899991656,t,2.1511132000014186,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
11,30,7,1,1,8,0,38.52407489999314,,38.510825200006366,38.52407489999314,39.52395020000404,39.52395020000404,39.52395020000404,43.576173799985554,l,4.043868699984159,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
15,35,13,1,2,9,1,43.589952399983304,,43.57663460000185,43.589952399983304,44.589419399999315,44.589419399999315,44.589419399999315,48.742707400000654,l,4.150576400017599,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
40,55,62,1,3,10,3,48.75514980001026,,48.743376099999296,48.75514980001026,49.838537900010124,49.838537900010124,49.838537900010124,52.042871399986325,t,2.1980328999925405,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
78,80,162,1,4,11,6,52.13703230000101,,52.0433689999918,52.13703230000101,53.05437480000546,53.05437480000546,53.13812419999158,55.65795639998396,t,2.597376499994425,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
49,60,89,1,5,12,4,55.671221600001445,,55.65840640000533,55.671221600001445,56.67087510001147,56.67087510001147,56.67087510001147,59.04128299999866,t,2.366238299990073,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
27,50,21,1,6,13,2,59.05392700000084,,59.041993599996204,59.05392700000084,60.05392179999035,60.05392179999035,60.05392179999035,63.2075310999935,l,3.1457874000188895,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
15,35,13,2,0,14,1,63.220537599991076,,63.20793959998991,63.220537599991076,64.2195861999935,64.2195861999935,64.2195861999935,65.94020969999838,l,1.7091049999871757,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
27,50,21,2,1,15,2,65.95361679999041,,65.94067489998997,65.95361679999041,66.95391999999993,66.95391999999993,66.95391999999993,69.18956279999111,t,2.2340924000018276,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
40,55,62,2,2,16,3,69.20322560000932,,69.19020919999457,69.20322560000932,70.2032840999891,70.2032840999891,70.2032840999891,72.25637089999509,t,2.0465908000187483,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
11,30,7,2,3,17,0,72.26864500000374,,72.25678440000047,72.26864500000374,73.26880270001129,73.26880270001129,73.26880270001129,74.97253920001094,l,1.6991867999895476,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
49,60,89,2,4,18,4,74.98577939998358,,74.97310709999874,74.98577939998358,75.98517490000813,75.98517490000813,75.98517490000813,77.43794609999168,l,1.4413743000186514,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
78,80,162,2,5,19,6,77.45142080000369,,77.43835360000958,77.45142080000369,78.45259249999071,78.45259249999071,78.45259249999071,80.45494530000724,t,1.9944014999782667,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
67,75,119,2,6,20,5,80.46828719999758,,80.45534059999045,80.46828719999758,81.46770589999505,81.46770589999505,81.46770589999505,83.8050447999849,t,2.324894999997923,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
67,75,119,3,0,21,5,83.81819570000516,,83.80556189999334,83.81819570000516,84.81768169999123,84.81768169999123,84.81768169999123,86.08795180000016,t,1.2686196000140626,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
11,30,7,3,1,22,0,86.10049290000461,,86.08837819998735,86.10049290000461,87.10066259998712,87.10066259998712,87.10066259998712,88.2370641999878,l,1.1339898000005633,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
15,35,13,3,2,23,1,88.24998759999289,,88.23763879999751,88.24998759999289,89.25054730000556,89.25054730000556,89.25054730000556,90.1878798000107,l,0.9238529000140261,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
78,80,162,3,3,24,6,90.23355040000752,,90.18831209998461,90.23355040000752,91.20046319998801,91.20046319998801,91.23335779999616,92.63626239998848,t,1.4273112999799196,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
27,50,21,3,4,25,2,92.74957039998844,,92.63674769998761,92.74957039998844,93.6494504000002,93.6494504000002,93.75110880000284,94.35341449998668,l,0.6922534999903291,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
40,55,62,3,5,26,3,94.3662561000092,,94.35383889998775,94.3662561000092,95.36581769998884,95.36581769998884,95.36581769998884,96.33696950000012,t,0.9640821000211872,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
49,60,89,3,6,27,4,96.41494379998767,,96.33741589999408,96.41494379998767,97.34887339998386,97.34887339998386,97.41612579999492,98.06929059998947,t,0.7178870000061579,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
78,80,162,4,0,28,6,98.08260580000933,,98.0698027999897,98.08260580000933,99.08208409999497,99.08208409999497,99.08208409999497,101.05179369999678,t,1.9662300999916624,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
67,75,119,4,1,29,5,101.08124769999995,,101.05225489998702,101.08124769999995,102.06568820000393,102.06568820000393,102.08176199998707,102.81820469998638,t,0.7501022000215016,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
49,60,89,4,2,30,4,102.83270259998972,,102.81862840001122,102.83270259998972,103.83183889999054,103.83183889999054,103.83183889999054,104.56802760000573,t,0.7269272999837995,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
11,30,7,4,3,31,0,104.58140090000234,,104.5686066999915,104.58140090000234,105.58230869998806,105.58230869998806,105.58230869998806,107.45131840000977,l,1.8613697999971919,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
40,55,62,4,4,32,3,107.46424909998314,,107.451871199999,107.46424909998314,108.46459580000374,108.46459580000374,108.46459580000374,110.01717310000095,t,1.5433364000055008,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
15,35,13,4,5,33,1,110.0306614000001,,110.01760880000074,110.0306614000001,111.03073440000298,111.03073440000298,111.03073440000298,112.00090519999503,l,0.9650181999895722,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
27,50,21,4,6,34,2,112.01385129999835,,112.0016071999853,112.01385129999835,113.01373420000891,113.01373420000891,113.01373420000891,114.30084199999692,l,1.281594399973983,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
67,75,119,5,0,35,5,114.3139463000116,,114.30141089999233,114.3139463000116,115.31364290000056,115.31364290000056,115.31364290000056,116.06777530000545,t,0.749015999987023,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
40,55,62,5,1,36,3,116.08015819999855,,116.06821269998909,116.08015819999855,117.08003380001173,117.08003380001173,117.08003380001173,117.59991679998348,t,0.5099362999899313,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
78,80,162,5,2,37,6,117.6129413000017,,117.6004122000013,117.6129413000017,118.61291759999585,118.61291759999585,118.61291759999585,119.28370989998803,t,0.6654096999845933,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
11,30,7,5,3,38,0,119.29634989998885,,119.28416499999003,119.29634989998885,120.29636300000129,120.29636300000129,120.29636300000129,121.00035499999649,l,0.6904102000116836,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
49,60,89,5,4,39,4,121.01296309998725,,121.00078870001016,121.01296309998725,122.0141156000027,122.0141156000027,122.0141156000027,123.74922399999923,t,1.730699799983995,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
15,35,13,5,5,40,1,123.84469110000646,,123.74979269999312,123.84469110000646,124.76258320000488,124.76258320000488,124.84625360000064,126.39966510000522,l,1.6333013999974355,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
27,50,21,5,6,41,2,126.41186649998417,,126.40019389998633,126.41186649998417,127.41193169998587,127.41193169998587,127.41193169998587,128.34901519998675,l,0.9329377000103705,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
49,60,89,6,0,42,4,128.46139139999286,,128.34946619998664,128.46139139999286,129.36156699998537,129.36156699998537,129.46186929999385,130.1164027999912,t,0.7509511999960523,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
15,35,13,6,1,43,1,130.12833559999126,,130.1168871000118,130.12833559999126,131.12780839999323,131.12780839999323,131.12780839999323,132.79787149999174,t,1.6582721000013407,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
78,80,162,6,2,44,6,132.81163019998348,,132.79834209999535,132.81163019998348,133.8117549000017,133.8117549000017,133.8117549000017,135.19812300000922,t,1.3729515000013635,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
27,50,21,6,3,45,2,135.2113090000057,,135.19858419999946,135.2113090000057,136.2115491000004,136.2115491000004,136.2115491000004,137.6986099999922,l,1.4822514000115916,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
67,75,119,6,4,46,5,137.71065980001003,,137.69905100000324,137.71065980001003,138.71075490000658,138.71075490000658,138.71075490000658,140.6643553999893,t,1.9522178999905009,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
40,55,62,6,5,47,3,140.67647559999023,,140.66476240000338,140.67647559999023,141.67694659999688,141.67694659999688,141.67694659999688,144.97958499999368,t,3.2929879000002984,None,083230,001,2024-11-21_14h10.09.913,delay_discounting,2024.1.5,None,2024-11-21 14h10.24.478664 +0530,
