reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,0,0,0,3,0.06845419999444857,,0.03043829998932779,0.06845419999444857,1.0034144999808632,1.0034144999808632,1.069922199996654,4.375741099996958,t,3.357603399985237,None,304216,001,2024-11-21_14h26.38.076,delay_discounting,2024.1.5,None,2024-11-21 14h26.42.902443 +0530,
15,35,13,0,1,1,1,4.402008399978513,,4.376486499997554,4.402008399978513,5.385909399978118,5.385909399978118,5.402554999978747,6.473148099990794,l,1.0733050999988336,None,304216,001,2024-11-21_14h26.38.076,delay_discounting,2024.1.5,None,2024-11-21 14h26.42.902443 +0530,
11,30,7,0,2,2,0,6.485686899977736,,6.47380319997319,6.485686899977736,7.486691999976756,7.486691999976756,7.486691999976756,7.990793999982998,l,0.500327899993863,None,304216,001,2024-11-21_14h26.38.076,delay_discounting,2024.1.5,None,2024-11-21 14h26.42.902443 +0530,
78,80,162,0,3,3,6,8.00277539997478,,7.991202399978647,8.00277539997478,9.002842599991709,9.002842599991709,9.002842599991709,9.455615399987437,t,0.4513427999918349,None,304216,001,2024-11-21_14h26.38.076,delay_discounting,2024.1.5,None,2024-11-21 14h26.42.902443 +0530,
49,60,89,0,4,4,4,9.46942159999162,,9.456078899995191,9.46942159999162,10.46862489997875,10.46862489997875,10.46862489997875,11.089086799998768,t,0.6036012999829836,None,304216,001,2024-11-21_14h26.38.076,delay_discounting,2024.1.5,None,2024-11-21 14h26.42.902443 +0530,
67,75,119,0,5,5,5,11.10250409998116,,11.089566999988165,11.10250409998116,12.101632799982326,12.101632799982326,12.101632799982326,12.589539899985539,t,0.4780202000110876,None,304216,001,2024-11-21_14h26.38.076,delay_discounting,2024.1.5,None,2024-11-21 14h26.42.902443 +0530,
27,50,21,0,6,6,2,12.601967800001148,,12.590028099977644,12.601967800001148,13.602057499985676,13.602057499985676,13.602057499985676,14.055105999985244,l,0.444802800018806,None,304216,001,2024-11-21_14h26.38.076,delay_discounting,2024.1.5,None,2024-11-21 14h26.42.902443 +0530,
11,30,7,1,0,7,0,14.068568599992432,,14.055568499985384,14.068568599992432,15.068149599974276,15.068149599974276,15.068149599974276,15.555437199975131,l,0.4712483000184875,None,304216,001,2024-11-21_14h26.38.076,delay_discounting,2024.1.5,None,2024-11-21 14h26.42.902443 +0530,
49,60,89,1,1,8,4,15.5681096999906,,15.555953899980523,15.5681096999906,16.5687528999988,16.5687528999988,16.5687528999988,17.07172469998477,t,0.4980375000159256,None,304216,001,2024-11-21_14h26.38.076,delay_discounting,2024.1.5,None,2024-11-21 14h26.42.902443 +0530,
27,50,21,1,2,9,2,17.08483089998481,,17.072253399994224,17.08483089998481,18.084393099998124,18.084393099998124,18.084393099998124,18.488336099981098,t,0.39074149998486973,None,304216,001,2024-11-21_14h26.38.076,delay_discounting,2024.1.5,None,2024-11-21 14h26.42.902443 +0530,
67,75,119,1,3,10,5,18.501298199989833,,18.488778599974466,18.501298199989833,19.501240599987796,19.501240599987796,19.501240599987796,19.971162499976344,t,0.45603400000254624,None,304216,001,2024-11-21_14h26.38.076,delay_discounting,2024.1.5,None,2024-11-21 14h26.42.902443 +0530,
40,55,62,1,4,11,3,19.984628899983363,,19.97155930000008,19.984628899983363,20.985095999989426,20.985095999989426,20.985095999989426,21.571407099982025,t,0.579176200000802,None,304216,001,2024-11-21_14h26.38.076,delay_discounting,2024.1.5,None,2024-11-21 14h26.42.902443 +0530,
15,35,13,1,5,12,1,21.584316099993885,,21.57189419999486,21.584316099993885,22.58438259997638,22.58438259997638,22.58438259997638,23.08784089999972,l,0.49207900001783855,None,304216,001,2024-11-21_14h26.38.076,delay_discounting,2024.1.5,None,2024-11-21 14h26.42.902443 +0530,
